nom_operateur,nom_enseigne
,
,2 Pl. du 8 Mai 1945
,21 Rue Mal de Lattre de Tassigny
,ACMD
,ADEO
,AUDI BYmyCAR Avignon
,AUDI BYmyCAR Lyon Nord
,AUDI BYmyCAR Orl&eacute;ans
,Alambic
,Alpine Residences - Manali Lodge
,Area Englos
,Auchan
,Auto S&eacute;lection - Jaguar Land-Rover
,Autobernard - VALENCE
,Avis
,BMW
,BMW & MINI
,BMW Bresse Auto Sport
,BOULANGER
,BPM Group
,Bernard Trucks Grenoble
,Best Western
,Bmw Orléans - PDL 2
,Bonne Anse Plage - Camping Siblu
,CAMPING
,CC RIVES D'ALZON
,CC Sud Corse - Santa Catalina
,CORSE TRAVAUX
,CPS
,Campanile
,Camping 3 étoiles
,Camping Les Lacs
,Camping Parc du Guibel
,Carrosserie
,Casino
,Château de la Gardine
,Citroën
,Clinique Sainte Marie
,Clinique de la Mitterie
,Clovis Location Villefranche-Sur-Sa&ocirc;ne
,Communauté de communes Sud Corse
,Concessionnaire
,Concessionnaire EURO-GARE
,Concessionnaire Kia
,Concessionnaire Nissan AUTOLYV
,Concessionnaire Nissan Annecy Groupe Maurin
,Concessionnaire Nissan Arles
,Concessionnaire Nissan Avignon
,Concessionnaire Nissan Béziers
,Concessionnaire Nissan Carpentras
,Concessionnaire Nissan Gex
,Concessionnaire Nissan MMC PROVENCE - ORANGE
,Concessionnaire Nissan Manosque
,Concessionnaire Nissan Narbonne
,Concessionnaire Nissan Salon de provence
,Concessionnaire SUZUKI Annemasse
,Concessionnaire Suzuki Annecy Savoie Motors
,Corsica Game
,Courtepaille
,DAF - GSVI MARSEILLE
,DMD44800*2
,DS
,Darty
,Decathlon
,Defrance Automobiles
,Dlmc Anfriani
,Domaine De Litteau - Camping Siblu
,Domaine Les Oréades Camping
,Domaine de Dugny - Camping Siblu
,Domaine de Kerlann - Camping Siblu
,E. Leclerc
,ELLIPSE CINEMA
,EPGML
,Edenauto Nissan
,Edenauto Premium BMW
,Entrepot Prélodis
,Esso
,Euro des Nations
,Europ&#039;Auto
,FabreVolvo12850*1
,Farges - Manoir
,Fiat
,Fiba
,Ford
,Ford Angers - Cl&eacute;net
,Ford Rennes Cesson-S&eacute;vign&eacute; - Contacts automobiles
,Ford Saint-Brieuc - Contacts automobiles
,GRAND LYON
,GRAND NANCY
,GRIM AUTO
,GROUPE BERNARD
,Gamm Vert
,Garage de la Plaine
,Gare Gevrey-Chambertin
,Genevray
,Golf de Dinard
,Groupe SWEETCO
,Guillaud TP
,Géant Casino
,Honda
,Hotel Akena
,Hotel Najeti
,Hotel-Restaurant Des Deux Sorru
,HotelAKENA44000*1
,Hyundai
,Hyundai Besançon - Millauto
,Hyundai Cambrai - ADNH
,Hyundai Challans - Oc&eacute;ane Auto
